        eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 3.647000+6 3.081500+0 3.647200+6 3.081200+0 3.647400+6 3.081000+0
 3.647600+6 3.080900+0 3.647800+6 3.080800+0 3.648000+6 3.080600+0
 3.649000+6 3.080100+0 3.650000+6 3.079600+0 3.651000+6 3.079100+0
 3.652000+6 3.078500+0 3.653000+6 3.077900+0 3.654000+6 3.077300+0
 3.655000+6 3.076700+0 3.660000+6 3.073000+0 3.665000+6 3.068600+0
 3.670000+6 3.063500+0 3.675000+6 3.057700+0 3.680000+6 3.051200+0
 3.685000+6 3.044100+0 3.690000+6 3.036500+0 3.695000+6 3.028600+0
 3.700000+6 3.020600+0 3.710000+6 3.005400+0 3.720000+6 2.995700+0
 3.730000+6 3.003900+0 3.740000+6 3.071200+0 3.745000+6 3.171400+0
 3.750000+6 3.400900+0 3.755000+6 3.984500+0 3.760000+6 5.346100+0
 3.761000+6 5.636300+0 3.762000+6 5.835600+0 3.763000+6 5.892400+0
 3.764000+6 5.789600+0 3.765000+6 5.555700+0 3.766000+6 5.246200+0
 3.767000+6 4.916100+0 3.768000+6 4.602600+0 3.769000+6 4.324100+0
 3.770000+6 4.085800+0 3.772000+6 3.719100+0 3.774000+6 3.465000+0
 3.776000+6 3.286500+0 3.778000+6 3.157400+0 3.780000+6 3.061300+0
 3.785000+6 2.904200+0 3.790000+6 2.809000+0 3.795000+6 2.743000+0
 3.800000+6 2.692500+0 3.810000+6 2.615000+0 3.820000+6 2.553100+0
 3.830000+6 2.499100+0 3.840000+6 2.450300+0 3.850000+6 2.405600+0
 3.860000+6 2.364500+0 3.870000+6 2.326800+0 3.880000+6 2.292700+0
 3.890000+6 2.262100+0 3.900000+6 2.235300+0 3.920000+6 2.192400+0
 3.940000+6 2.162900+0 3.960000+6 2.142000+0 3.980000+6 2.118800+0
 4.000000+6 2.068500+0 4.010000+6 2.018200+0 4.020000+6 1.938900+0
 4.030000+6 1.821700+0 4.040000+6 1.667500+0 4.050000+6 1.497700+0
 4.060000+6 1.348900+0 4.070000+6 1.246600+0 4.080000+6 1.189700+0
 4.090000+6 1.163300+0 4.100000+6 1.155000+0 4.110000+6 1.161300+0
 4.120000+6 1.188700+0 4.130000+6 1.252200+0 4.140000+6 1.372400+0
 4.150000+6 1.563900+0 4.160000+6 1.809800+0 4.165000+6 1.934600+0
 4.170000+6 2.046700+0 4.175000+6 2.137200+0 4.180000+6 2.200400+0
 4.185000+6 2.235200+0 4.190000+6 2.243700+0 4.195000+6 2.230300+0
 4.200000+6 2.200000+0 4.205000+6 2.157500+0 4.210000+6 2.106700+0
 4.215000+6 2.050600+0 4.220000+6 1.991300+0 4.225000+6 1.930400+0
 4.230000+6 1.868900+0 4.235000+6 1.807400+0 4.240000+6 1.746500+0
 4.245000+6 1.686400+0 4.250000+6 1.627600+0 4.255000+6 1.570700+0
 4.260000+6 1.516900+0 4.265000+6 1.468400+0 4.270000+6 1.429500+0
